zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
85321,176,Ajo Improvement Co,AZ,Bundled,Investor Owned,0.1143891402714932,0,0.125648628613788
36560,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
36513,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
36280,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
35473,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
35229,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
36375,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
36042,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
36370,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
35555,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
36832,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
36505,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
35452,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
36110,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
35442,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
35211,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
36043,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
35184,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
35171,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
35055,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
36054,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
36782,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
35907,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
36850,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
36507,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
36079,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
35073,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
35019,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
36092,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
35150,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14839918366967444,0.07954381576473578,0.16771992972770178
